device_ean,p_size
ZIV0034866342,2.3396963007750924
ZIV0034866701,2.3396963007750924
ZIV0046992311,2.3396963007750924
ZIV0034866348,2.3396963007750924
ZIV0046922276,2.3396963007750924
ZIV0034866637,2.3396963007750924
ZIV0040332093,2.3396963007750924
ZIV0034866332,2.3396963007750924
ZIV0046922281,2.3396963007750924
ZIV0034866417,2.3396963007750924
ZIV0034866340,2.3396963007750924
ZIV0034866629,2.3396963007750924
ZIV0034863078,2.3396963007750924
ZIV0034866449,2.3396963007750924
ZIV0036295151,2.3396963007750924
ZIV0034866276,2.3396963007750924
ZIV0034866456,2.3396963007750924
ZIV0034866335,2.3396963007750924
ZIV0034863074,2.3396963007750924
ZIV0034916661,2.3396963007750924
ZIV0034866457,2.3396963007750924
ZIV0034866620,2.3396963007750924
ZIV0046922280,2.3396963007750924
ZIV0034866703,2.3396963007750924
ZIV0034866627,2.3396963007750924
ZIV0034866416,2.3396963007750924
ZIV0034866278,2.3396963007750924
ZIV0034863075,2.3396963007750924
ZIV0046922278,2.3396963007750924
SAG0156201161,2.3396963007750924
ZIV0034863077,2.3396963007750924
ZIV0034866253,2.3396963007750924
ZIV0034866334,2.3396963007750924
ZIV0046922273,2.3396963007750924
ZIV0034866624,2.3396963007750924
SAG0145432047,2.3396963007750924
ZIV0034866258,2.3396963007750924
ZIV0034866249,2.3396963007750924
ZIV0046922279,2.3396963007750924
ZIV0034863070,2.3396963007750924
ZIV0036295149,2.3396963007750924
ZIV0034866275,2.3396963007750924
ZIV0034863111,2.3396963007750924
ZIV0034866277,2.3396963007750924
ZIV0034866329,2.3396963007750924
ZIV0034866250,2.3396963007750924
ZIV0034866256,2.3396963007750924
ZIV0034866625,2.3396963007750924
ZIV0034866708,2.3396963007750924
ZIV0034866330,2.3396963007750924
ZIV0046922282,2.3396963007750924
ZIV0034866343,2.3396963007750924
ZIV0034866336,2.3396963007750924
ZIV0034866341,2.3396963007750924
ZIV0034866344,2.3396963007750924
ZIV0034866418,2.3396963007750924
ZIV0046928845,2.3396963007750924
ZIV0036288882,2.3396963007750924
ZIV0034866257,2.3396963007750924
ZIV0034866638,2.3396963007750924
ZIV0034866706,2.3396963007750924
ZIV0034866339,2.3396963007750924
ZIV0034866255,2.3396963007750924
ZIV0034866453,2.3396963007750924
ZIV0046922277,2.3396963007750924
ZIV0036295158,2.3396963007750924
ZIV0034866630,2.3396963007750924
ZIV0034866333,2.3396963007750924
ZIV0034866619,2.3396963007750924
ZIV0034866621,2.3396963007750924
ZIV0034866270,2.3396963007750924
ZIV0034804299,4.83700757882047
ZIV0034867019,4.83700757882047
SAG0155194846,4.83700757882047
ZIV0034867027,4.83700757882047
ZIV0034804304,4.83700757882047
ZIV0036294482,4.83700757882047
ZIV0034804307,4.83700757882047
ZIV0034866847,4.83700757882047
ZIV0034867021,4.83700757882047
ZIV0034804300,4.83700757882047
ZIV0034804298,4.83700757882047
ZIV0040359744,4.83700757882047
ZIV0034867026,4.83700757882047
ZIV0034804647,4.83700757882047
ZIV0034867028,4.83700757882047
ZIV0034867020,4.83700757882047
ZIV0034867060,4.83700757882047
ZIV0034804302,4.83700757882047
ZIV0034804306,4.83700757882047
ZIV0034804641,4.83700757882047
ZIV0034804303,4.83700757882047
ZIV0034867062,4.83700757882047
ZIV0034867059,4.83700757882047
ZIV0040327194,4.83700757882047
?0003217935,4.83700757882047
ZIV0034867022,4.83700757882047
ZIV0034804642,4.83700757882047
ZIV0034867023,4.83700757882047
ZIV0036287894,4.83700757882047
ZIV0034804301,4.83700757882047
ZIV0034867065,4.83700757882047
ZIV0034867025,4.83700757882047
ZIV0036294473,4.83700757882047
ZIV0036287900,4.83700757882047
ZIV0034867024,4.83700757882047
ZIV0034936742,4.83700757882047
ZIV0034804305,4.83700757882047
ZIV0034866848,4.83700757882047
ZIV0034866860,2.6266323473750437
ZIV0034866806,2.6266323473750437
ZIV0034863405,2.6266323473750437
ZIV0034866779,2.6266323473750437
ZIV0034866958,2.6266323473750437
ZIV0034866991,2.6266323473750437
ZIV0040430857,2.6266323473750437
ZIV0034863429,2.6266323473750437
ZIV0034863430,2.6266323473750437
ZIV0034866953,2.6266323473750437
ZIV0034936279,2.6266323473750437
ZIV0036295110,2.6266323473750437
ZIV0034866716,2.6266323473750437
ZIV0034866718,2.6266323473750437
ZIV0036294435,2.6266323473750437
ZIV0034866803,2.6266323473750437
ZIV0034866955,2.6266323473750437
ZIV0036299739,2.6266323473750437
ZIV0034866861,2.6266323473750437
ZIV0034866804,2.6266323473750437
ZIV0034866715,2.6266323473750437
ZIV0034866717,2.6266323473750437
ZIV0036294437,2.6266323473750437
ZIV0034796004,2.6266323473750437
ZIV0036294439,2.6266323473750437
ZIV0034831969,2.6266323473750437
ZIV0034866802,2.6266323473750437
ZIV0034866849,2.6266323473750437
ZIV0034866957,2.6266323473750437
ZIV0034866799,2.6266323473750437
ZIV0034866997,2.6266323473750437
ZIV0034866786,2.6266323473750437
ZIV0034866800,2.6266323473750437
SAG0145443412,2.6266323473750437
ZIV0034866714,2.6266323473750437
ZIV0034866787,2.6266323473750437
ZIV0034863434,2.6266323473750437
ZIV0034866859,2.6266323473750437
ZIV0036294440,2.6266323473750437
ZIV0036294436,2.6266323473750437
ZIV0042302896,2.6266323473750437
ZIV0036299375,2.6266323473750437
ZIV0034866867,2.6266323473750437
ZIV0034866862,2.6266323473750437
ZIV0034866709,2.6266323473750437
ZIV0034831970,2.6266323473750437
ZIV0034866780,2.6266323473750437
ZIV0034866996,2.6266323473750437
ZIV0034866856,2.6266323473750437
ZIV0034831978,2.6266323473750437
ZIV0034866950,2.6266323473750437
ZIV0034866865,2.6266323473750437
ZIV0034866712,2.6266323473750437
ZIV0034863438,2.6266323473750437
ZIV0034866952,2.6266323473750437
